r:1071.0 n:1203
--a:-1 r:-13.0 n:19
----a:1 r:-6.0 n:12
------a:-1 r:-3.0 n:7
--------a:-1 r:-3.0 n:3
----------a:1 r:-2.0 n:2
--------a:1 r:1.0 n:3
----------a:-1 r:-1.0 n:1
----------a:1 r:1.0 n:1
------a:1 r:-4.0 n:4
--------a:1 r:-1.0 n:1
--------a:-1 r:-2.0 n:2
----------a:-1 r:-1.0 n:1
----a:-1 r:-6.0 n:6
------a:1 r:-2.0 n:2
--------a:1 r:-1.0 n:1
------a:-1 r:-3.0 n:3
--------a:-1 r:-1.0 n:1
--------a:1 r:-1.0 n:1
--a:1 r:1084.0 n:1184
----a:-1 r:-12.0 n:18
------a:-1 r:-4.0 n:6
--------a:1 r:-1.0 n:3
----------a:-1 r:-2.0 n:2
--------a:-1 r:-2.0 n:2
----------a:-1 r:-1.0 n:1
------a:1 r:-7.0 n:11
--------a:1 r:-6.0 n:6
----------a:-1 r:-1.0 n:1
----------a:1 r:-4.0 n:4
--------a:-1 r:-2.0 n:4
----------a:-1 r:0.0 n:2
------------a:1 r:-1.0 n:1
----------a:1 r:-1.0 n:1
----a:1 r:1097.0 n:1165
------a:1 r:108.0 n:140
--------a:1 r:34.0 n:46
----------a:-1 r:19.0 n:25
------------a:1 r:20.0 n:20
--------------a:-1 r:12.0 n:12
----------------a:-1 r:2.0 n:2
------------------a:1 r:1.0 n:1
----------------a:1 r:9.0 n:9
------------------a:-1 r:1.0 n:1
------------------a:1 r:7.0 n:7
--------------a:1 r:7.0 n:7
----------------a:1 r:3.0 n:3
----------------a:-1 r:3.0 n:3
------------------a:-1 r:2.0 n:2
------------a:-1 r:-2.0 n:4
--------------a:-1 r:-1.0 n:1
--------------a:1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
----------a:1 r:14.0 n:20
------------a:1 r:9.0 n:11
--------------a:-1 r:2.0 n:4
----------------a:-1 r:2.0 n:2
------------------a:-1 r:1.0 n:1
----------------a:1 r:-1.0 n:1
--------------a:1 r:6.0 n:6
----------------a:1 r:1.0 n:1
----------------a:-1 r:4.0 n:4
------------------a:-1 r:3.0 n:3
------------a:-1 r:4.0 n:8
--------------a:1 r:3.0 n:3
----------------a:-1 r:1.0 n:1
----------------a:1 r:1.0 n:1
--------------a:-1 r:2.0 n:4
----------------a:-1 r:1.0 n:1
----------------a:1 r:0.0 n:2
------------------a:-1 r:-1.0 n:1
--------a:-1 r:76.0 n:92
----------a:-1 r:-3.0 n:5
------------a:-1 r:-1.0 n:1
------------a:1 r:-1.0 n:3
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
----------a:1 r:78.0 n:86
------------a:1 r:73.0 n:77
--------------a:1 r:72.0 n:74
----------------a:1 r:1.0 n:1
----------------a:-1 r:70.0 n:72
------------------a:-1 r:69.0 n:71
--------------a:-1 r:0.0 n:2
------------a:-1 r:2.0 n:6
--------------a:-1 r:1.0 n:3
----------------a:-1 r:1.0 n:1
----------------a:1 r:-1.0 n:1
--------------a:1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
------a:-1 r:990.0 n:1024
--------a:-1 r:20.0 n:36
----------a:1 r:21.0 n:27
------------a:1 r:4.0 n:6
------------a:-1 r:17.0 n:19
--------------a:1 r:1.0 n:1
--------------a:-1 r:15.0 n:17
----------a:-1 r:1.0 n:7
------------a:1 r:-1.0 n:3
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
------------a:-1 r:1.0 n:3
--------a:1 r:969.0 n:987
----------a:-1 r:17.0 n:25
------------a:1 r:14.0 n:16
--------------a:-1 r:2.0 n:2
----------------a:-1 r:1.0 n:1
--------------a:1 r:11.0 n:13
----------------a:1 r:1.0 n:1
----------------a:-1 r:9.0 n:11
------------a:-1 r:4.0 n:8
--------------a:1 r:-1.0 n:1
--------------a:-1 r:4.0 n:6
----------a:1 r:951.0 n:961
------------a:1 r:1.0 n:5
--------------a:1 r:1.0 n:1
--------------a:-1 r:-1.0 n:3
----------------a:-1 r:-2.0 n:2
------------a:-1 r:951.0 n:955
--------------a:1 r:952.0 n:954
