r:-2211.0 n:2281
--a:1 r:-2194.0 n:2220
----a:-1 r:-2185.0 n:2193
------a:1 r:-5.0 n:9
--------a:1 r:0.0 n:2
----------a:-1 r:-1.0 n:1
--------a:-1 r:-4.0 n:6
----------a:-1 r:-1.0 n:1
----------a:1 r:-4.0 n:4
------a:-1 r:-2179.0 n:2183
--------a:-1 r:-2175.0 n:2179
----------a:-1 r:-1.0 n:1
----------a:1 r:-2175.0 n:2177
------------a:1 r:-2176.0 n:2176
--------a:1 r:-3.0 n:3
----------a:-1 r:-2.0 n:2
----a:1 r:-10.0 n:26
------a:1 r:-5.0 n:11
--------a:1 r:-3.0 n:3
----------a:1 r:-2.0 n:2
--------a:-1 r:-1.0 n:7
----------a:1 r:1.0 n:3
------------a:-1 r:1.0 n:1
------------a:1 r:-1.0 n:1
----------a:-1 r:-3.0 n:3
------------a:-1 r:-2.0 n:2
------a:-1 r:-6.0 n:14
--------a:-1 r:-2.0 n:6
----------a:-1 r:-1.0 n:3
------------a:-1 r:-2.0 n:2
----------a:1 r:0.0 n:2
------------a:-1 r:-1.0 n:1
--------a:1 r:-5.0 n:7
----------a:1 r:-2.0 n:4
------------a:1 r:-3.0 n:3
----------a:-1 r:-2.0 n:2
--a:-1 r:-17.0 n:61
----a:-1 r:-7.0 n:31
------a:1 r:-3.0 n:19
--------a:1 r:-2.0 n:8
----------a:1 r:-1.0 n:5
------------a:-1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
------------a:1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
----------a:-1 r:-2.0 n:2
------------a:1 r:-1.0 n:1
--------a:-1 r:-2.0 n:10
----------a:1 r:1.0 n:5
------------a:-1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
------------a:1 r:0.0 n:2
----------a:-1 r:-2.0 n:4
------------a:1 r:-2.0 n:2
------------a:-1 r:-1.0 n:1
------a:-1 r:-5.0 n:11
--------a:1 r:-2.0 n:6
----------a:-1 r:-1.0 n:1
----------a:1 r:0.0 n:4
------------a:1 r:-1.0 n:3
--------a:-1 r:-2.0 n:4
----------a:1 r:-1.0 n:1
----------a:-1 r:0.0 n:2
----a:1 r:-9.0 n:29
------a:-1 r:-5.0 n:13
--------a:1 r:-4.0 n:6
----------a:1 r:-2.0 n:4
------------a:-1 r:-1.0 n:1
------------a:1 r:-2.0 n:2
----------a:-1 r:-1.0 n:1
--------a:-1 r:-2.0 n:6
----------a:1 r:0.0 n:2
------------a:-1 r:-1.0 n:1
----------a:-1 r:-1.0 n:3
------------a:1 r:-2.0 n:2
------a:1 r:-5.0 n:15
--------a:1 r:-4.0 n:8
----------a:1 r:-1.0 n:1
----------a:-1 r:-2.0 n:6
------------a:1 r:1.0 n:1
------------a:-1 r:-4.0 n:4
--------a:-1 r:0.0 n:6
----------a:1 r:-2.0 n:2
------------a:-1 r:-1.0 n:1
----------a:-1 r:1.0 n:3
------------a:-1 r:1.0 n:1
------------a:1 r:-1.0 n:1
